"Note: <i>Current data is only available till 2012.</i>"
"Citation: Louis Johnston and Samuel H. Williamson, 'What Was the U.S. GDP Then?' MeasuringWorth, 2024."
"Year","Nominal GDP (million of Dollars)","Real GDP (millions of 2005 dollars)","GDP Deflator (index 2005=100)","Population (in thousands)","Nominal GDP per capita (current dollars)","Real GDP per capita (year 2005 dollars)"
"1790","187","4,027","4.65","3,929.00","47.61","1,024.87"
"1791","204","4,268","4.77","4,048.00","50.32","1,054.45"
"1792","223","4,583","4.86","4,172.00","53.34","1,098.47"
"1793","249","4,947","5.03","4,299.00","57.83","1,150.76"
"1794","312","5,601","5.57","4,429.00","70.50","1,264.71"
"1795","380","5,956","6.38","4,563.00","83.24","1,305.38"
"1796","413","6,146","6.71","4,701.00","87.78","1,307.36"
"1797","405","6,269","6.46","4,844.00","83.62","1,294.21"
"1798","409","6,538","6.25","4,990.00","81.89","1,310.26"
"1799","437","7,000","6.25","5,141.00","85.09","1,361.51"
"1800","476","7,398","6.43","5,297.00","89.78","1,396.70"
"1801","509","7,759","6.57","5,461.00","93.28","1,420.78"
"1802","446","8,003","5.58","5,632.00","79.28","1,420.96"
"1803","482","8,139","5.93","5,809.00","83.06","1,401.02"
"1804","527","8,455","6.24","5,991.00","88.03","1,411.21"
"1805","556","8,903","6.24","6,180.00","89.92","1,440.54"
"1806","611","9,323","6.56","6,379.00","95.85","1,461.59"
"1807","583","9,332","6.25","6,588.00","88.51","1,416.53"
"1808","640","9,353","6.84","6,797.00","94.11","1,376.04"
"1809","680","10,068","6.75","7,009.00","97.02","1,436.50"
"1810","699","10,626","6.58","7,224.00","96.80","1,470.97"
"1811","760","11,109","6.84","7,436.00","102.19","1,494.00"
"1812","779","11,553","6.74","7,651.00","101.77","1,509.94"
"1813","960","12,210","7.86","7,867.00","122.04","1,552.06"
"1814","1,068","12,721","8.39","8,085.00","132.07","1,573.40"
"1815","916","12,823","7.14","8,308.00","110.25","1,543.48"
"1816","811","12,822","6.33","8,540.00","95.01","1,501.46"
"1817","761","13,120","5.80","8,790.00","86.62","1,492.64"
"1818","730","13,597","5.37","9,057.00","80.62","1,501.25"
"1819","720","13,860","5.19","9,335.00","77.08","1,484.73"
"1820","703","14,414","4.88","9,618.00","73.09","1,498.65"
"1821","728","15,181","4.79","9,899.00","73.51","1,533.61"
"1822","798","15,757","5.06","10,189.00","78.28","1,546.46"
"1823","752","16,327","4.61","10,488.00","71.71","1,556.73"
"1824","747","17,295","4.32","10,795.00","69.17","1,602.14"
"1825","814","18,069","4.51","11,115.00","73.27","1,625.62"
"1826","858","18,711","4.59","11,449.00","74.93","1,634.32"
"1827","907","19,292","4.70","11,797.00","76.90","1,635.30"
"1828","888","19,552","4.54","12,158.00","73.05","1,608.20"
"1829","921","20,296","4.54","12,525.00","73.51","1,620.43"
"1830","1,012","22,162","4.57","12,901.00","78.43","1,717.85"
"1831","1,042","23,992","4.34","13,277.00","78.49","1,807.01"
"1832","1,118","25,613","4.37","13,676.00","81.79","1,872.85"
"1833","1,147","26,402","4.35","14,086.00","81.46","1,874.33"
"1834","1,207","26,846","4.50","14,504.00","83.24","1,850.94"
"1835","1,327","28,270","4.70","14,917.00","88.98","1,895.18"
"1836","1,465","29,107","5.03","15,340.00","95.47","1,897.46"
"1837","1,539","29,374","5.24","15,790.00","97.46","1,860.29"
"1838","1,582","30,589","5.17","16,224.00","97.53","1,885.41"
"1839","1,645","31,375","5.24","16,656.00","98.78","1,883.69"
"1840","1,559","31,461","4.95","17,120.00","91.03","1,837.66"
"1841","1,636","32,166","5.09","17,612.00","92.90","1,826.35"
"1842","1,602","33,194","4.83","18,124.00","88.41","1,831.47"
"1843","1,553","34,839","4.46","18,641.00","83.29","1,868.92"
"1844","1,686","36,818","4.58","19,157.00","88.01","1,921.89"
"1845","1,842","39,148","4.70","19,708.00","93.45","1,986.41"
"1846","2,045","42,330","4.83","20,313.00","100.67","2,083.89"
"1847","2,387","45,211","5.28","20,987.00","113.72","2,154.24"
"1848","2,404","46,735","5.14","21,706.00","110.73","2,153.09"
"1849","2,395","47,384","5.06","22,464.00","106.63","2,109.35"
"1850","2,556","49,586","5.16","23,261.00","109.90","2,131.71"
"1851","2,698","53,577","5.04","24,095.00","111.99","2,223.56"
"1852","3,037","59,764","5.08","24,999.00","121.48","2,390.64"
"1853","3,279","64,651","5.07","25,911.00","126.55","2,495.11"
"1854","3,677","66,883","5.50","26,856.00","136.92","2,490.43"
"1855","3,937","69,672","5.65","27,727.00","141.99","2,512.80"
"1856","4,009","72,470","5.53","28,497.00","140.67","2,543.06"
"1857","4,140","72,841","5.68","29,298.00","141.31","2,486.22"
"1858","4,054","75,789","5.35","30,068.00","134.82","2,520.57"
"1859","4,383","81,276","5.39","30,780.00","142.39","2,640.56"
"1860","4,345","82,107","5.29","31,513.00","137.88","2,605.51"
"1861","4,599","83,570","5.50","32,215.00","142.75","2,594.13"
"1862","5,788","93,954","6.16","32,889.00","175.98","2,856.71"
"1863","7,625","101,179","7.54","33,607.00","226.88","3,010.65"
"1864","9,457","102,327","9.24","34,376.00","275.11","2,976.69"
"1865","9,881","105,257","9.39","35,182.00","280.86","2,991.78"
"1866","8,995","100,428","8.96","36,052.00","249.49","2,785.64"
"1867","8,344","102,150","8.17","36,970.00","225.69","2,763.06"
"1868","8,146","106,134","7.67","37,885.00","215.01","2,801.48"
"1869","7,845","109,022","7.20","38,870.00","201.83","2,804.78"
"1870","7,737","112,276","6.89","39,905.00","193.89","2,813.59"
"1871","7,592","117,618","6.45","41,010.00","185.12","2,868.02"
"1872","8,230","127,460","6.46","42,066.00","195.64","3,030.00"
"1873","8,753","138,333","6.33","43,225.00","202.49","3,200.30"
"1874","8,482","140,849","6.02","44,429.00","190.90","3,170.20"
"1875","8,160","140,598","5.80","45,492.00","179.38","3,090.61"
"1876","8,308","146,418","5.67","46,459.00","178.82","3,151.56"
"1877","8,521","153,703","5.54","47,400.00","179.77","3,242.69"
"1878","8,379","158,643","5.28","48,319.00","173.41","3,283.23"
"1879","9,359","177,133","5.28","49,264.00","189.98","3,595.59"
"1880","10,362","191,814","5.40","50,262.00","206.16","3,816.27"
"1881","11,628","215,798","5.39","51,466.00","225.93","4,193.03"
"1882","12,214","227,250","5.37","52,893.00","230.91","4,296.41"
"1883","12,316","233,535","5.27","54,435.00","226.25","4,290.16"
"1884","11,782","229,685","5.13","55,826.00","211.05","4,114.30"
"1885","11,593","230,480","5.03","57,128.00","202.92","4,034.45"
"1886","12,180","249,225","4.89","58,258.00","209.07","4,277.96"
"1887","13,146","267,331","4.92","59,357.00","221.48","4,503.78"
"1888","13,866","282,701","4.90","60,614.00","228.76","4,663.95"
"1889","13,853","290,824","4.76","61,893.00","223.82","4,698.82"
"1890","15,077","319,077","4.73","63,056.00","239.11","5,060.21"
"1891","15,409","322,850","4.77","64,432.00","239.16","5,010.71"
"1892","16,356","339,301","4.82","65,920.00","248.13","5,147.16"
"1893","15,417","319,606","4.82","67,470.00","228.50","4,737.01"
"1894","14,143","304,458","4.65","68,910.00","205.24","4,418.20"
"1895","15,603","339,247","4.60","70,076.00","222.66","4,841.13"
"1896","15,493","333,642","4.64","71,188.00","217.64","4,686.77"
"1897","16,153","348,023","4.64","72,441.00","222.98","4,804.22"
"1898","18,088","386,074","4.69","73,600.00","245.76","5,245.57"
"1899","19,506","412,475","4.73","74,793.00","260.79","5,514.89"
"1900","20,567","422,843","4.86","76,094.00","270.29","5,556.85"
"1901","22,269","445,287","5.00","77,584.00","287.03","5,739.42"
"1902","24,062","468,159","5.14","79,163.00","303.95","5,913.87"
"1903","25,930","481,821","5.38","80,632.00","321.58","5,975.56"
"1904","25,681","464,761","5.53","82,166.00","312.54","5,656.37"
"1905","28,788","517,201","5.57","83,822.00","343.44","6,170.23"
"1906","31,037","538,350","5.77","85,450.00","363.21","6,300.18"
"1907","33,851","552,184","6.13","87,008.00","389.06","6,346.36"
"1908","30,133","492,484","6.12","88,710.00","339.68","5,551.62"
"1909","32,229","528,081","6.10","90,490.00","356.16","5,835.80"
"1910","33,423","533,767","6.26","92,407.00","361.70","5,776.26"
"1911","34,343","551,061","6.23","93,863.00","365.89","5,870.91"
"1912","37,384","576,879","6.48","95,335.00","392.14","6,051.07"
"1913","39,140","599,651","6.53","97,225.00","402.57","6,167.66"
"1914","36,479","553,739","6.59","99,111.00","368.06","5,587.06"
"1915","38,675","568,835","6.80","100,546.00","384.65","5,657.46"
"1916","49,638","647,713","7.66","101,961.00","486.83","6,352.56"
"1917","59,702","631,693","9.45","103,414.00","577.31","6,108.39"
"1918","75,835","688,666","11.01","104,550.00","725.35","6,586.95"
"1919","78,333","694,191","11.28","105,063.00","745.59","6,607.38"
"1920","88,393","687,704","12.85","106,461.00","830.29","6,459.68"
"1921","73,603","671,938","10.95","108,538.00","678.13","6,190.81"
"1922","73,432","709,250","10.35","110,049.00","667.26","6,444.86"
"1923","85,414","802,640","10.64","111,947.00","762.98","7,169.82"
"1924","86,947","827,355","10.51","114,109.00","761.96","7,250.57"
"1925","90,575","846,789","10.70","115,829.00","781.97","7,310.68"
"1926","96,949","902,122","10.75","117,397.00","825.82","7,684.37"
"1927","95,544","910,834","10.49","119,035.00","802.66","7,651.82"
"1928","97,365","921,273","10.57","120,509.00","807.95","7,644.85"
"1929","103,600","977,000","10.61","121,878.00","850.03","8,016.21"
"1930","91,200","892,800","10.22","123,188.00","740.33","7,247.46"
"1931","76,500","834,900","9.16","124,149.00","616.20","6,724.98"
