Day,Name,Date of Birth
Monday,Franklin D. Roosevelt,1882-01-30
Monday,Richard Nixon,9/1/1913
Monday,Gerald Ford,7/14/1913
Monday,Bill Clinton,8/19/1946
Tuesday,Millard Fillmore,1800-07-01
Tuesday,Harry S. Truman,1884-08-05
Tuesday,Dwight D. Eisenhower,1890-10-14
Tuesday,John F. Kennedy,5/29/1917
Tuesday,William Howard Taft,1857-09-15
Tuesday,Ulysses S. Grant,1822-04-27
Wednesday,George Washington,1732-02-22
Wednesday,Thomas Jefferson,1743-04-13
Wednesday,James K. Polk,1795-02-11
Wednesday,Theodore Roosevelt,1858-10-27
Wednesday,Rutherford B. Hayes,1822-04-10
Thursday,John Adams,1735-10-30
Thursday,Herbert Hoover,1874-10-08
Thursday,Lyndon B. Johnson,8/27/1908
Thursday,Jimmy Carter,1/10/1924
Thursday,William Henry Harrison,1773-09-02
Thursday,John Tyler,1790-03-29
Thursday,Andrew Johnson,1808-12-29
Friday,James Monroe,1758-04-28
Friday,Andrew Jackson,1767-03-15
Friday,Warren G. Harding,1865-02-11
Friday,Ronald Reagan,6/2/1911
Friday,George W. Bush,6/7/1946
Friday,Donald Trump,6/14/1946
Friday,Joe Biden,11/20/1942
Saturday,James Madison,1751-03-16
Saturday,James Buchanan,1791-04-23
Saturday,Abraham Lincoln,1809-12-02
Saturday,Grover Cleveland,1837-03-18
Saturday,Chester A. Arthur,1829-05-10
Saturday,Benjamin Harrison,1833-08-20
Saturday,Ulysses S. Grant,1822-04-27
Saturday,Barack Obama,8/4/1961
Sunday,Martin Van Buren,1782-05-12
Sunday,Calvin Coolidge,1872-04-07
Sunday,William McKinley,1843-01-29
