Year,Party,First Name,Last Name
1789,Independent,George,Washington
1790,Independent,George,Washington
1791,Independent,George,Washington
1792,Independent,George,Washington
1793,Independent,George,Washington
1794,Independent,George,Washington
1795,Independent,George,Washington
1796,Independent,George,Washington
1797,Federalist,John,Adams
1798,Federalist,John,Adams
1799,Federalist,John,Adams
1800,Federalist,John,Adams
1801,Democratic-Republican,Thomas,Jefferson
1802,Democratic-Republican,Thomas,Jefferson
1803,Democratic-Republican,Thomas,Jefferson
1804,Democratic-Republican,Thomas,Jefferson
1805,Democratic-Republican,Thomas,Jefferson
1806,Democratic-Republican,Thomas,Jefferson
1807,Democratic-Republican,Thomas,Jefferson
1808,Democratic-Republican,Thomas,Jefferson
1809,Democratic-Republican,James,Madison
1810,Democratic-Republican,James,Madison
1811,Democratic-Republican,James,Madison
1812,Democratic-Republican,James,Madison
1813,Democratic-Republican,James,Madison
1814,Democratic-Republican,James,Madison
1815,Democratic-Republican,James,Madison
1816,Democratic-Republican,James,Madison
1817,Democratic-Republican,James,Monroe
1818,Democratic-Republican,James,Monroe
1819,Democratic-Republican,James,Monroe
1820,Democratic-Republican,James,Monroe
1821,Democratic-Republican,James,Monroe
1822,Democratic-Republican,James,Monroe
1823,Democratic-Republican,James,Monroe
1824,Democratic-Republican,James,Monroe
1825,Democratic-Republican,John,Adams
1826,Democratic-Republican,John,Adams
1827,Democratic-Republican,John,Adams
1828,Democratic-Republican,John,Adams
1829,Democrat,Andrew,Jackson
1830,Democrat,Andrew,Jackson
1831,Democrat,Andrew,Jackson
1832,Democrat,Andrew,Jackson
1833,Democrat,Andrew,Jackson
1834,Democrat,Andrew,Jackson
1835,Democrat,Andrew,Jackson
1836,Democrat,Andrew,Jackson
1837,Democrat,Martin,Buren
1838,Democrat,Martin,Buren
1839,Democrat,Martin,Buren
1840,Democrat,Martin,Buren
1841,Whig,William,Harrison
1841,Whig,John,Tyler
1842,Whig,John,Tyler
1843,Whig,John,Tyler
1844,Whig,John,Tyler
1845,Democrat,James,Polk
1846,Democrat,James,Polk
1847,Democrat,James,Polk
1848,Democrat,James,Polk
1849,Whig,Zachary,Taylor
1850,Whig,Millard,Fillmore
1851,Whig,Millard,Fillmore
1852,Whig,Millard,Fillmore
1853,Democrat,Franklin,Pierce
1854,Democrat,Franklin,Pierce
1855,Democrat,Franklin,Pierce
1856,Democrat,Franklin,Pierce
1857,Democrat,James,Buchanan
1858,Democrat,James,Buchanan
