Year,Nominal GDP (million of Dollars),Real GDP (millions of 2017 dollars),GDP Deflator (index 2017=100),Population,Nominal GDP per capita (current dollars),Real GDP per capita (year 2017 dollars)
1787,-3793390.120225683,-4417783.78844519,-17.745335598278984,-58657608.48919964,-12369.091694733419,-11854.519408716587
1788,-3741778.618236169,-4351169.657969341,-17.423730672841884,-57207984.24925852,-12196.349527349113,-11624.774677763518
1789,-3690167.1162466556,-4284555.527493492,-17.102125747404784,-55758360.0093174,-12023.607359964808,-11395.029946810508
1790,193,"4,975",3.88,"3,929,000",49.1,"1,266.23"
1791,210,"5,274",3.98,"4,048,000",51.89,"1,302.85"
1792,230,"5,663",4.05,"4,171,000",55.03,"1,357.63"
1793,256,"6,113",4.19,"4,297,000",59.67,"1,422.52"
1794,321,"6,905",4.65,"4,428,000",72.56,"1,559.46"
1795,390,"7,331",5.32,"4,562,000",85.53,"1,607.03"
1796,423,"7,553",5.6,"4,700,000",90.06,"1,606.92"
1797,415,"7,692",5.39,"4,843,000",85.65,"1,588.26"
1798,418,"8,009",5.22,"4,990,000",83.73,"1,605.09"
1799,447,"8,561",5.22,"5,141,000",86.87,"1,665.24"
1800,486,"9,049",5.37,"5,297,000",91.66,"1,708.28"
1801,520,"9,490",5.48,"5,486,000",94.79,"1,729.81"
1802,456,"9,788",4.66,"5,679,000",80.27,"1,723.57"
1803,493,"9,954",4.95,"5,872,000",83.88,"1,695.18"
1804,538,"10,341",5.21,"6,065,000",88.78,"1,704.97"
1805,567,"10,889",5.21,"6,258,000",90.66,"1,739.94"
1806,624,"11,403",5.47,"6,451,000",96.76,"1,767.69"
1807,595,"11,414",5.22,"6,644,000",89.6,"1,717.93"
1808,653,"11,439",5.71,"6,838,000",95.5,"1,672.92"
1809,694,"12,315",5.64,"7,031,000",98.74,"1,751.46"
1810,714,"12,997",5.49,"7,224,000",98.82,"1,799.12"
1811,776,"13,588",5.71,"7,460,000",104,"1,821.41"
1812,795,"14,130",5.63,"7,700,000",103.23,"1,835.03"
1813,980,"14,934",6.56,"7,939,000",123.46,"1,881.08"
1814,"1,090","15,559",7.01,"8,179,000",133.28,"1,902.28"
1815,935,"15,684",5.96,"8,419,000",111.08,"1,862.91"
1816,828,"15,683",5.28,"8,659,000",95.66,"1,811.17"
1817,777,"16,047",4.84,"8,899,000",87.35,"1,803.26"
1818,745,"16,630",4.48,"9,139,000",81.57,"1,819.67"
1819,735,"16,952",4.33,"9,379,000",78.32,"1,807.43"
1820,718,"17,629",4.07,"9,618,000",74.62,"1,832.97"
1821,742,"18,548",4.0,"9,939,000",74.67,"1,866.23"
1822,816,"19,306",4.23,"10,268,000",79.45,"1,880.21"
1823,767,"19,939",3.85,"10,596,000",72.35,"1,881.76"
1824,762,"21,136",3.6,"10,924,000",69.72,"1,934.78"
1825,832,"22,123",3.76,"11,252,000",73.96,"1,966.10"
1826,876,"22,891",3.83,"11,580,000",75.65,"1,976.76"
1827,925,"23,576",3.93,"11,909,000",77.71,"1,979.68"
1828,907,"23,918",3.79,"12,237,000",74.11,"1,954.56"
1829,940,"24,824",3.79,"12,565,000",74.8,"1,975.61"
1830,"1,032","27,090",3.81,"12,901,000",80.02,"2,099.82"
1831,"1,065","29,362",3.63,"13,321,000",79.91,"2,204.20"
1832,"1,142","31,345",3.64,"13,742,000",83.14,"2,280.95"
1833,"1,172","32,315",3.63,"14,162,000",82.77,"2,281.83"
1834,"1,233","32,851",3.75,"14,582,000",84.56,"2,252.87"
1835,"1,358","34,645",3.92,"15,003,000",90.49,"2,309.22"
1836,"1,497","35,641",4.2,"15,423,000",97.05,"2,310.92"
1837,"1,574","36,001",4.37,"15,843,000",99.36,"2,272.33"
1838,"1,618","37,486",4.32,"16,264,000",99.51,"2,304.85"
