OP,PRESIDENT,ASCENDANT,MIDHEAVEN,SUN,MOON,MERCURY
1,George Washington,Taurus,Capricorn,Pisces,Capricorn,Aquarius
2,John Adams,Virgo,Gemini,Scorpio,Aries,Scorpio
3,Thomas Jefferson,,,Aries,Sagittarius,Pisces
4,James Madison,Sagittarius,Virgo,Pisces,Scorpio,Aquarius
5,James Monroe,Aquarius,Sagittarius,Taurus,Capricorn,Taurus
6,John Q. Adams,Libra,Cancer,Cancer,Capricorn,Leo
7,Andrew Jackson,Aries,Capricorn,Pisces,Virgo or Libra,Aries
8,Martin Van Buren,,,Sagittarius,Sagittarius or Capricorn,Scorpio
9,William Henry Harrison,Taurus,Capricorn,Aquarius,Virgo,Capricorn
10,John Tyler,Aries,Capricorn,Aries,Virgo or Libra,Pisces
11,James K. Polk,Capricorn,Scorpio,Scorpio,Cancer,Sagittarius
12,Zachary Taylor,Capricorn,Scorpio,Sagittarius,Taurus,Capricorn
13,Millard Fillmore,Sagittarius,Libra,Capricorn,Gemini,Sagittarius
14,Franklin Pierce,,,Sagittarius,Leo or Virgo,Scorpio or Sagittarius
15,James Buchanan,,,Taurus,Capricorn,Taurus
16,Abraham Lincoln,Aquarius,Sagittarius,Aquarius,Capricorn,Pisces
17,Andrew Johnson,Libra,Cancer,Capricorn,Taurus,Sagittarius
18,Ulysses S. Grant,Taurus,Capricorn,Taurus,Cancer,Aries
19,Rutherford B. Hayes,Gemini,Pisces,Libra,Gemini,Scorpio
20,James A. Garfield,Virgo,Gemini,Scorpio,Taurus,Scorpio
21,Chester A. Arthur,Libra,Cancer,Libra,Capricorn,Scorpio
22,Grover Cleveland,Cancer,Pisces,Pisces,Leo,Pisces
23,Benjamin Harrison,Leo,Aries,Leo,Scorpio,Virgo
24,Grover Cleveland,,,,,
25,William McKinley,Libra,Leo,Aquarius,Aquarius,Aquarius
26,Theodore Roosevelt,Gemini,Pisces,Scorpio,Cancer,Scorpio
27,William Howard Taft,Taurus,Capricorn,Virgo,Leo,Libra
28,Woodrow Wilson,Libra,Cancer,Capricorn,Capricorn or Aquarius,Capricorn
29,Warren G. Harding,Pisces,Sagittarius,Scorpio,Taurus,Scorpio
30,Calvin Coolidge,Virgo,Gemini,Cancer,Gemini,Cancer
31,Herbert Hoover,Taurus,Aquarius,Leo,Leo,Leo
32,Franklin D. Roosevelt,Virgo,Gemini,Aquarius,Cancer,Aquarius
33,Harry S. Truman,Libra,Cancer,Taurus,Scorpio,Gemini
34,Dwight D. Eisenhower,Virgo,Gemini,Libra,Libra or Scorpio,Libra
35,John F. Kennedy,Libra,Cancer,Gemini,Virgo,Taurus
36,Lyndon B. Johnson,Leo,Taurus,Virgo,Virgo,Virgo
37,Richard Nixon,Virgo,Gemini,Capricorn,Aquarius,Capricorn
38,Gerald Ford,Taurus,Capricorn,Cancer,Sagittarius,Leo
39,Jimmy Carter,Libra,Cancer,Libra,Scorpio,Virgo
40,Ronald Reagan,Sagittarius,Libra,Aquarius,Taurus,Capricorn
41,George H. W. Bush,Sagittarius,Taurus,Gemini,Libra,Taurus
42,Bill Clinton,Libra,Cancer,Leo,Taurus,Leo
43,George W. Bush,Leo,Aries,Cancer,Libra,Leo
44,Barack Obama,Aquarius,Scorpio,Leo,Gemini,Leo
45,Donald J. Trump,Leo,Taurus,Gemini,Sagittarius,Cancer
46,Joseph R. Biden,Sagittarius,Virgo,Scorpio,Taurus,Scorpio
,,,,,,
Notes,,,,,,
