Name,First,Last,Day,Month,Year
George Washington,George,Washington,22,2,1732
John Adams,John,Adams,30,10,1735
Thomas Jefferson,Thomas,Jefferson,13,4,1743
James Madison,James,Madison,16,3,1751
James Monroe,James,Monroe,28,4,1758
John Adams,John,Adams,11,7,1767
Andrew Jackson,Andrew,Jackson,15,3,1767
Martin Buren,Martin,Buren,5,12,1782
William Harrison,William,Harrison,9,2,1773
John Tyler,John,Tyler,29,3,1790
James Polk,James,Polk,2,11,1795
Zachary Taylor,Zachary,Taylor,24,11,1784
Millard Fillmore,Millard,Fillmore,7,1,1800
Franklin Pierce,Franklin,Pierce,23,11,1804
James Buchanan,James,Buchanan,23,4,1791
Abraham Lincoln,Abraham,Lincoln,12,2,1809
Andrew Johnson,Andrew,Johnson,29,12,1808
Ulysses Grant,Ulysses,Grant,27,4,1822
Rutherford Hayes,Rutherford,Hayes,4,10,1822
James Garfield,James,Garfield,19,11,1831
Chester Arthur,Chester,Arthur,5,10,1829
Grover Cleveland,Grover,Cleveland,18,3,1837
Benjamin Harrison,Benjamin,Harrison,20,8,1833
Grover Cleveland,Grover,Cleveland,18,3,1837
William McKinley,William,McKinley,29,1,1843
Theodore Roosevelt,Theodore,Roosevelt,27,10,1858
William Taft,William,Taft,15,9,1857
Woodrow Wilson,Woodrow,Wilson,28,12,1856
Warren Harding,Warren,Harding,2,11,1865
Calvin Coolidge,Calvin,Coolidge,4,7,1872
Herbert Hoover,Herbert,Hoover,10,8,1874
Franklin Roosevelt,Franklin,Roosevelt,30,1,1882
Harry Truman,Harry,Truman,8,5,1884
Dwight Eisenhower,Dwight,Eisenhower,14,10,1890
John Kennedy,John,Kennedy,29,5,1917
Lyndon Johnson,Lyndon,Johnson,27,8,1908
Richard Nixon,Richard,Nixon,9,1,1913
Gerald Ford,Gerald,Ford,14,7,1913
Jimmy Carter,Jimmy,Carter,1,10,1924
Ronald Reagan,Ronald,Reagan,6,2,1911
George Bush,George,Bush,12,6,1924
William Clinton,William,Clinton,19,8,1946
George Bush,George,Bush,6,6,1946
Barack Obama,Barack,Obama,4,8,1961
Donald Trump,Donald,Trump,14,6,1946
Joseph Biden,Joe,Biden,20,11,1942
