President,Birthday,Sign
Washington,"February 22, 1732",Pisces
J. Adams,"October 30, 1735",Scorpio
Jefferson,"April 13, 1743",Aries
Madison,"March 16, 1751",Pisces
Monroe,"April 28, 1758",Taurus
J.Q. Adams,"July 11, 1767",Cancer
Jackson,"March 15, 1767",Pisces
Van Buren,"December 5, 1782",Sagittarius
W.H. Harrison,"February 9, 1773",Aquarius
Polk,"November 2, 1795",Scorpio
Taylor,"November 24, 1784",Sagittarius
Pierce,"November 23, 1804",Sagittarius
Buchanan,"April 23, 1791",Taurus
Lincoln,"February 12, 1809",Aquarius
Grant,"April 27, 1822",Taurus
Hayes,"October 4, 1822",Libra
Garfield,"November 19, 1831",Scorpio
Cleveland,"March 18, 1837",Pisces
B. Harrison,"August 20, 1833",Leo
McKinley,"January 29, 1843",Aquarius
T. Roosevelt,"October 27, 1858",Scorpio
Taft,"September 15, 1857",Virgo
Wilson,"December 28, 1856",Capricorn
Harding,"November 2, 1865",Scorpio
Coolidge,"July 4, 1872",Cancer
Hoover,"August 10, 1874",Leo
F. Roosevelt,"January 30, 1882",Aquarius
Truman,"May 8, 1884",Taurus
Eisenhower,"October 14, 1890",Libra
Kennedy,29-May-17,Gemini
L. Johnson,27-Aug-08,Virgo
Nixon,9-Jan-13,Capricorn
Carter,1-Oct-24,Libra
Reagan,6-Feb-11,Aquarius
G.H.W. Bush,12-Jun-24,Gemini
Clinton,19-Aug-46,Leo
G.W. Bush,6-Jul-46,Cancer
Obama,4-Aug-61,Leo
