order,name,height_cm,height_in,weight_kg,weight_lb,body_mass_index,body_mass_index_range,birth_day,birth_month,birth_year,birth_date,birthplace,birth_state,death_day,death_month,death_year,death_date,death_age,astrological_sign,term_begin_day,term_begin_month,term_begin_year,term_begin_date,term_end_day,term_end_month,term_end_year,term_end_date,presidency_begin_age,presidency_end_age,political_party,corrected_iq
1,George Washington,188,74.0,79.4,175,22.5,Normal,22,2,1732,22-02-1732,Westmoreland County,Virginia,14,12,1799,14-12-1799,67,Pisces,30,4,1789,30-04-1789,4,3,1797,04-03-1797,57,65,Unaffiliated,140
2,John Adams,170,67.0,83.9,185,29.0,Overweight,30,10,1735,30-10-1735,Braintree,Massachusetts,4,7,1826,04-07-1826,90,Scorpio,4,3,1797,04-03-1797,4,3,1801,04-03-1801,61,65,Federalist,155
3,Thomas Jefferson,189,74.5,82.1,181,23.0,Normal,13,4,1743,13-04-1743,Shadwell,Virginia,4,7,1826,04-07-1826,83,Aries,4,3,1801,04-03-1801,4,3,1809,04-03-1809,57,65,Democratic-Republican,160
4,James Madison,163,64.0,55.3,122,20.8,Normal,16,3,1751,16-03-1751,Port Conway,Virginia,28,6,1836,28-06-1836,85,Pisces,4,3,1809,04-03-1809,4,3,1817,04-03-1817,57,65,Democratic-Republican,160
5,James Monroe,183,72.0,85.7,189,25.6,Overweight,28,4,1758,28-04-1758,Monroe Hall,Virginia,4,7,1831,04-07-1831,73,Taurus,4,3,1817,04-03-1817,4,3,1825,04-03-1825,58,66,Democratic-Republican,139
6,John Quincy Adams,171,67.5,92.1,203,31.5,Obese,11,7,1767,11-07-1767,Braintree,Massachusetts,23,2,1848,23-02-1848,80,Cancer,4,3,1825,04-03-1825,4,3,1829,04-03-1829,57,61,Democratic-Republican,175
7,Andrew Jackson,185,73.0,63.5,140,18.6,Normal,15,3,1767,15-03-1767,Waxhaws Region,South Carolina,8,6,1845,08-06-1845,78,Pisces,4,3,1829,04-03-1829,4,3,1837,04-03-1837,61,69,Democrat,145
8,Martin Van Buren,168,66.0,74.4,164,26.4,Overweight,5,12,1782,05-12-1782,Kinderhook,New York,24,7,1862,24-07-1862,79,Sagittarius,4,3,1837,04-03-1837,4,3,1841,04-03-1841,54,58,Democrat,146
9,William Henry Harrison,173,68.0,73.5,162,24.6,Normal,9,2,1773,09-02-1773,Charles City County,Virginia,4,4,1841,04-04-1841,68,Aquarius,4,3,1841,04-03-1841,4,4,1841,04-04-1841,68,68,Whig,146
10,John Tyler,183,72.0,72.6,160,21.7,Normal,29,3,1790,29-03-1790,Charles City County,Virginia,18,1,1862,18-01-1862,71,Aries,4,4,1841,04-04-1841,4,3,1845,04-03-1845,51,54,Whig,148
11,James Knox Polk,173,68.0,78.9,174,26.4,Overweight,2,11,1795,02-11-1795,Pineville,North Carolina,15,6,1849,15-06-1849,53,Scorpio,4,3,1845,04-03-1845,4,3,1849,04-03-1849,49,53,Democrat,143
12,Zachary Taylor,173,68.0,104.3,230,34.8,Obese,24,11,1784,24-11-1784,Barboursville,Virginia,9,7,1850,09-07-1850,65,Sagittarius,4,3,1849,04-03-1849,9,7,1850,09-07-1850,64,65,Whig,140
13,Millard Fillmore,175,69.0,65.3,144,21.3,Normal,7,1,1800,07-01-1800,Summerhill,New York,8,5,1874,08-05-1874,74,Capricorn,9,7,1850,09-07-1850,4,3,1853,04-03-1853,50,53,Whig,149
14,Franklin Pierce,178,70.0,73.5,162,23.2,Normal,23,11,1804,23-11-1804,Hillsborough,New Hampshire,8,10,1869,08-10-1869,64,Sagittarius,4,3,1853,04-03-1853,4,3,1857,04-03-1857,48,52,Democrat,147
15,James Buchanan,183,72.0,98.4,217,29.4,Overweight,23,4,1791,23-04-1791,Cove Gap,Pennsylvania,1,6,1868,01-06-1868,77,Taurus,4,3,1857,04-03-1857,4,3,1861,04-03-1861,65,69,Democrat,140
16,Abraham Lincoln,193,76.0,83.9,185,22.5,Normal,12,2,1809,12-02-1809,Sinking Spring,Kentucky,15,4,1865,15-04-1865,56,Aquarius,4,3,1861,04-03-1861,15,4,1865,15-04-1865,52,56,Republican,150
17,Andrew Johnson,178,70.0,69.9,154,22.1,Normal,29,12,1808,29-12-1808,Raleigh,North Carolina,31,7,1875,31-07-1875,66,Capricorn,15,4,1865,15-04-1865,4,3,1869,04-03-1869,56,60,National Union,140
