,president,birthday,year,party,nominal_gdp(million_of_dollars),real_gdp(millions_of_2017_dollars),gdp_deflator_(index_2017=100),population,nominal_gdp_per_capita_(current_dollars),real_gdp_per_capita_(year_2017_dollars)
0,George Washington,1732-02-22,1789.0,none,138.66,6894.01,2.01,6698461.39,20.7,1029.19
1,George Washington,1732-02-22,1790.0,none,193,"4,975",3.88,"3,929,000",49.1,"1,266.23"
2,George Washington,1732-02-22,1791.0,none,210,"5,274",3.98,"4,048,000",51.89,"1,302.85"
3,George Washington,1732-02-22,1792.0,none,230,"5,663",4.05,"4,171,000",55.03,"1,357.63"
4,George Washington,1732-02-22,1793.0,none,256,"6,113",4.19,"4,297,000",59.67,"1,422.52"
5,George Washington,1732-02-22,1794.0,none,321,"6,905",4.65,"4,428,000",72.56,"1,559.46"
6,George Washington,1732-02-22,1795.0,none,390,"7,331",5.32,"4,562,000",85.53,"1,607.03"
7,George Washington,1732-02-22,1796.0,none,423,"7,553",5.6,"4,700,000",90.06,"1,606.92"
8,John Adams,1735-10-30,1797.0,Federalist,415,"7,692",5.39,"4,843,000",85.65,"1,588.26"
9,John Adams,1735-10-30,1798.0,Federalist,418,"8,009",5.22,"4,990,000",83.73,"1,605.09"
10,John Adams,1735-10-30,1799.0,Federalist,447,"8,561",5.22,"5,141,000",86.87,"1,665.24"
11,John Adams,1735-10-30,1800.0,Federalist,486,"9,049",5.37,"5,297,000",91.66,"1,708.28"
12,Thomas Jefferson,1743-04-13,1801.0,Democratic-Republican,520,"9,490",5.48,"5,486,000",94.79,"1,729.81"
13,Thomas Jefferson,1743-04-13,1802.0,Democratic-Republican,456,"9,788",4.66,"5,679,000",80.27,"1,723.57"
14,Thomas Jefferson,1743-04-13,1803.0,Democratic-Republican,493,"9,954",4.95,"5,872,000",83.88,"1,695.18"
15,Thomas Jefferson,1743-04-13,1804.0,Democratic-Republican,538,"10,341",5.21,"6,065,000",88.78,"1,704.97"
16,Thomas Jefferson,1743-04-13,1805.0,Democratic-Republican,567,"10,889",5.21,"6,258,000",90.66,"1,739.94"
17,Thomas Jefferson,1743-04-13,1806.0,Democratic-Republican,624,"11,403",5.47,"6,451,000",96.76,"1,767.69"
18,Thomas Jefferson,1743-04-13,1807.0,Democratic-Republican,595,"11,414",5.22,"6,644,000",89.6,"1,717.93"
